country_code,country_name,year,value
DEU,Germany,1960,69.0640731707317
DEU,Germany,1980,72.8003170731707
DEU,Germany,2000,77.9268292682927
DEU,Germany,2020,80.9414634146342
ITA,Italy,1960,69.1239024390244
ITA,Italy,1980,73.9431707317073
ITA,Italy,2000,79.7780487804878
ITA,Italy,2020,82.3439024390244
JPN,Japan,1960,67.6660975609756
JPN,Japan,1980,76.0917073170732
JPN,Japan,2000,81.0760975609756
JPN,Japan,2020,84.6156097560976
DNK,Denmark,1960,72.1765853658537
DNK,Denmark,1980,74.1017073170732
DNK,Denmark,2000,76.5926829268293
DNK,Denmark,2020,81.5512195121951
USA,United States,1960,69.7707317073171
USA,United States,1980,73.609756097561
USA,United States,2000,76.6365853658537
USA,United States,2020,77.2804878048781
GBR,United Kingdom,1960,71.1268292682927
GBR,United Kingdom,1980,73.6756097560976
GBR,United Kingdom,2000,77.7414634146342
GBR,United Kingdom,2020,80.9024390243903
AFG,Afghanistan,1960,32.535
AFG,Afghanistan,1980,39.618
AFG,Afghanistan,2000,55.298
AFG,Afghanistan,2020,62.575
IND,India,1960,45.218
IND,India,1980,53.611
IND,India,2000,62.669
IND,India,2020,70.15
VEN,"Venezuela, RB",1960,58.647
VEN,"Venezuela, RB",1980,68.762
VEN,"Venezuela, RB",2000,72.478
VEN,"Venezuela, RB",2020,71.095
AUS,Australia,1960,70.8170731707317
AUS,Australia,1980,74.3336585365854
AUS,Australia,2000,79.2341463414634
AUS,Australia,2020,83.2
KOR,"Korea, Rep.",1960,54.320243902439
KOR,"Korea, Rep.",1980,66.0463414634146
KOR,"Korea, Rep.",2000,75.909756097561
KOR,"Korea, Rep.",2020,83.4268292682927
CHN,China,1960,33.275
CHN,China,1980,64.42
CHN,China,2000,71.881
CHN,China,2020,78.077
CAN,Canada,1960,71.1331707317073
CAN,Canada,1980,75.0780487804878
CAN,Canada,2000,79.1365853658537
CAN,Canada,2020,81.7487804878049
SWE,Sweden,1960,73.0056097560976
SWE,Sweden,1980,75.7409756097561
SWE,Sweden,2000,79.6439024390244
SWE,Sweden,2020,82.4073170731707
WLD,World,1960,50.866170951186
WLD,World,1980,62.2248531940153
WLD,World,2000,67.7000539909611
WLD,World,2020,72.2650112702741
